ID,Measurements,Sensor_Reading,Category,Mixed_Info
1,49.67141530112327,141.0,,7
2,inf,160.0,,7
3,64.76885381006925,57.0, Delta ,
4,152.30298564080255,84.0,Epsilon,nine
5,-inf,130.0,BETA,10.0
6,-23.413695694918054,99.0,Gamma,10.0
7,157.92128155073914,153.0,alpha,3.0
8,,181.0,Epsilon,7
9,-46.947438593495214,51.0, Delta ,1
10,54.25600435859646,183.0,Gamma,True
11,,103.0,Gamma,True
12,-46.57297535702568,-500.0,Alpha,FIVE
13,24.196227156603413,53.0,Gamma,7
14,-191.32802446577978,103.0,BETA,7
15,-172.49178325130327,,,
16,-56.22875292409727,9999.0, Delta ,True
17,-101.28311203344238,63.0,Gamma,7
18,31.424733259527386,144.0,Alpha,
19,-90.8024075521211,,BETA,3.0
20,,64.0,Beta,
