ID,Measurements,Sensor_Reading,Measurement_to_SensorRatio,Category,Mixed_Info,Range_Meters
1,49.67141530112327,141.0,0.3522795411427182,Gamma,7.0,14100.0
2,-12.968445919648078,160.0,0.05925942206223821,Gamma,7.0,16000.0
3,64.76885381006925,57.0,1.1362956808784077, delta ,5.375,5700.0
4,152.30298564080255,84.0,1.8131307814381252,Epsilon,9.0,8400.0
5,-12.968445919648078,130.0,0.05925942206223821,Beta,10.0,13000.0
6,-23.41369569491805,99.0,-0.2365019767163439,Gamma,10.0,9900.0
7,157.92128155073914,153.0,1.03216523889372,Alpha,3.0,15300.0
8,-12.968445919648078,181.0,0.05925942206223821,Epsilon,7.0,18100.0
9,-46.947438593495214,51.0,-0.9205380116371612, delta ,1.0,5100.0
10,54.25600435859646,183.0,0.2964808981344069,Gamma,1.0,18300.0
11,-12.968445919648078,103.0,0.05925942206223821,Gamma,1.0,10300.0
12,-46.57297535702568,-500.0,0.0931459507140513,Alpha,5.0,-50000.0
13,24.196227156603413,53.0,0.4565325878604417,Gamma,7.0,5300.0
14,-191.3280244657797,103.0,-1.857553635590094,Beta,7.0,10300.0
15,-172.49178325130327,626.0,0.05925942206223821,Gamma,5.375,62600.0
16,-56.22875292409727,9999.0,-0.0056234376361733, delta ,1.0,999900.0
17,-101.28311203344238,63.0,-1.6076684449752758,Gamma,7.0,6300.0
18,31.424733259527383,144.0,0.2182273143022735,Alpha,5.375,14400.0
19,-90.8024075521211,626.0,0.05925942206223821,Beta,3.0,62600.0
20,-12.968445919648078,64.0,0.05925942206223821,Beta,5.375,6400.0
